peak No.,Anotation,start m/z,end m/z,RT(min,RT(sec,RI,BY00,BY01,BY02,BY03,BY04,BY05,BY06,BY07,BY08,BY09,BY10,Xaa00,Xaa01,Xaa02,Xaa03,Xaa04,Xaa05,Xaa06,Xaa07,Xaa08,Xaa09,Xaa10,Xwo00,Xwo01,Xwo02,Xwo03,Xwo04,Xwo05,Xwo06,Xwo07,Xwo08,Xwo09,Xwo10
Peak-01,,171,172,3.7,222,,0.90034579,0.950647408,0.900929571,0.912953008,0.870935365,0.867373441,0.819932166,0.765831707,0.752345341,0.607969551,0.36021369,0.793461672,0.820459723,0.857014013,0.834062537,0.848009749,0.84101399,0.820600597,0.786823882,0.748996141,0.653693101,0.262021463,0.829579294,0.889312859,0.846328251,0.862221687,0.860340872,0.844544091,0.834269085,0.822891068,0.779585577,0.687861065,0.30269301
Peak-02,Pyruvate+Oxalacetic acid::C00022+C00036,174,177,4.705,282.3,1043.8,0.846221341,0.361205118,0.270172319,0.276449253,0.293892387,0.301558271,0.312946046,0.30123131,0.211984884,0.140019896,0.088022122,0.840333845,0.323231676,0.337070688,0.347231177,0.302191322,0.352491228,0.43054755,0.291065512,0.253622035,0.156302095,0.068390961,0.833636651,0.358881012,0.243277849,0.240965979,0.297513321,0.214100719,0.22627876,0.238883144,0.191072961,0.137815501,0.043708609
Peak-03,Alanine_2TMS_Major::C00041+0,116,118,5.31,318.6,1094.2,0.838800511,0.798119386,0.775226636,0.728226259,0.642443825,0.483841209,0.292551206,0.137515518,0.05326704,0.048797928,0.065672394,0.833724325,0.817181145,0.790574069,0.728168342,0.657132423,0.503817318,0.273268986,0.12506841,0.048540626,0.038701008,0.033904505,0.844705263,0.828412431,0.785250283,0.745760865,0.665737008,0.531292156,0.338548519,0.152379753,0.053889557,0.034525031,0.023095799
Peak-04,Glycine_2TMS_Minor::C00037,102,103,5.539,332.3,1115.3,0.722517292,0.787228756,0.7719357,0.798827498,0.833587786,0.766214304,0.695294655,0.627749098,0.617879053,0.488443236,0.521124255,0.720870337,0.798126834,0.797912605,0.806448517,0.828013238,0.800889694,0.738985522,0.59318414,0.647992165,0.588095915,0.505290249,0.718119183,0.767970883,0.817255097,0.811849377,0.840978593,0.729774905,0.681823814,0.621387651,0.572305513,0.532568862,0.446820236
Peak-05,2-Aminobutyric acid::C02261,130,133,6.083,365,1165.8,0.795843521,0.714285714,0.815462315,0.768856448,0.821730644,0.671875,0.860480421,0.670753589,0.523561644,0.440233978,0.228233109,0.792522831,0.740120874,0.85209713,0.849602122,0.832076765,0.758936971,0.738551771,0.835138705,0.57382199,0.330718954,0.157710734,0.796244933,0.792418033,0.825920525,0.846530438,0.829626765,0.808677098,0.832051801,0.827278142,0.577259475,0.403653966,0.053677419
Peak-06,Valine_2TMS_Major::C00183+0,144,148,6.55,393,1207.3,0.759269034,0.747769667,0.729487472,0.719663868,0.662774543,0.518832939,0.321798792,0.168478829,0.068471937,0.041994601,0.027772912,0.763897243,0.750331669,0.739562968,0.69866239,0.638668012,0.483257236,0.265735905,0.134288978,0.05514263,0.035769805,0.018026002,0.763319924,0.742319787,0.713113328,0.669847418,0.566030447,0.360103106,0.214441264,0.091276398,0.030337751,0.023626787,0.010563559
Peak-07,Serine_2TMS_Minor::C00065,116,118,7,420,1252.8,0.840357226,0.848608534,0.738211913,0.814793039,0.656767345,0.526552525,0.241014799,0.179559237,0.064130046,0.032109661,0.017434533,0.833135947,0.842818732,0.826165522,0.730087348,0.61330171,0.500891689,0.241314241,0.094711682,0.052636876,0.058790047,0.01150479,0.81726842,0.816258458,0.769441402,0.760072909,0.607714702,0.454347447,0.250639638,0.098558234,0.068234065,0.043375859,0.023129252
Peak-08,Isoleucine_2TMS::C00407+0,158,163,7.35,441,1286.2,0.798556231,0.69592134,0.618993135,0.675088652,0.6502978,0.67433394,0.635591507,0.548138906,0.386450052,0.231749213,0.145711267,0.782306708,0.731987291,0.646143876,0.635287575,0.550913366,0.600773994,0.621176471,0.533933518,0.344680177,0.160493827,0.052800627,0.844842389,0.762190907,0.692986504,0.655655809,0.597557236,0.50256654,0.331453201,0.214689266,0.107249568,0.10575371,0.035808974
Peak-09,Threonine_2TMS::C00188,117,119,7.376,442.6,1288.6,0.873278807,0.865193102,0.847777692,0.831781502,0.869952894,0.759305745,0.59484136,0.37331455,0.233807518,0.187298288,0.127079584,0.854735314,0.882767643,0.821519085,0.851560468,0.938004521,0.77172359,0.558466995,0.343633585,0.225986928,0.183139356,0.101201602,0.836718638,0.852137643,0.856797044,0.882062147,0.841083975,0.771103428,0.634606907,0.38961039,0.202542774,0.096784324,0.089327146
Peak-10,Proline::C00148+0,142,146,7.44,446.4,1294.5,0.830555609,0.830540626,0.827586207,0.83526256,0.824286218,0.826364769,0.819188731,0.780092523,0.632964946,0.403512885,0.213080578,0.808561608,0.813482007,0.832966977,0.848829359,0.827784942,0.816577748,0.808587706,0.75947897,0.5878741,0.418370225,0.099214166,0.77945513,0.859952419,0.828527103,0.836898981,0.815836999,0.83152913,0.781582407,0.639913341,0.52891494,0.364043409,0.059397715
